1368,Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor,Comments,,,1368,Example,Course Code,Course Name,LTP,Credit,Type,offered_for_minor
482,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,CS1101,1,Foundations of Programming ,3-0-3,4.5,Core,0,,,,,,,,,,,
483,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0,,,,,,,,,,,
484,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0,,,,,,,,,,,
485,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0,,,,,,,,,,,
486,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,HS1101,1,English for Professionals,2-0-1,2.5,Core,0,,,,,,,,,,,
487,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0,,,,,,,,,,,
488,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,CS1201,2,Data Structure,3-0-3,4.5,Core,0,,,,,,,,,,,
489,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,CH1201/CH1101,2,Chemistry,3-1-3,5.5,Core,0,,,,,,,,,,,
490,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME1201/ME1101,2,Mechanical Fabrication,0-0-3,1.5,Core,0,,,,,,,,,,,
491,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME1202/ME1102,2,Engineering Mechanics,3-1-0,4,Core,0,,,,,,,,,,,
492,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,IK1101,2,Indian Knowledge System(IKS),3-0-0,3,IKS,0,,,,,,,,,,,
493,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME2101,3,Dynamics,3-1-0,4,Core,0,,,,,,,,,,,
494,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME2102,3,Thermodynamics,3-1-0,4,Core,0,,,,,,,,,,,
495,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME2103,3,Fluid Mechanics,3-1-2,5,3-1-0,0,,,,,,,,,,,
496,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME2104,3,Engineering Materials,3-0-2,4,3-1-0,0,,,,,,,,,,,
497,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,HS21PQ,3,HS1,3-0-0,3,HS1,0,,,,,,,,,,,
498,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME2102,3,Thermodynamics,3-1-0,4,Core,1,,,,,,,,,,,
499,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME2201,4,Kinematics and Dynamics of Mechanisms,3-1-2,5,Core,0,,,,,,,,,,,
500,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME2202,4,Heat and Mass Transfer,3-1-2,5,Core,0,,,,,,,,,,,
501,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME2203,4,Mechanics of Solids,3-1-0,4,Core,0,,,,,,,,,,,
502,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME2204,4,Mechanical Measurements and Instrumentation,3-0-2,4,Core,0,,,,,,,,,,,
503,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,XX22PQ,4,IDE1,3-0-0,3,IDE1,0,,,,,,,,,,,
504,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME2202,4,Heat and Mass Transfer,3-1-2,5,Core,1,,,,,,,,,,,
505,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3101,5,Data Analytics and Machine Learning Tools for Engineers,1-2-1,3.5,Core,0,,,,,,,,,,,
506,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3102,5,Design of Machine Elements,3-0-3,4.5,Core,0,,,,,,,,,,,
507,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3103,5,Manufacturing Technology- I,3-0-2,4,Core,0,,,,,,,,,,,
508,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3104,5,Engineering Software Laboratory,1-0-3,2.5,Core,0,,,,,,,,,,,
509,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3105,5,Numerical Methods for Engineers,3-0-0,3,Core,0,,,,,,,,,,,
510,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,XX31PQ,5,IDE2,3-0-0,3,IDE2,0,,,,,,,,,,,
511,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3104,5,Engineering Software Laboratory,1-0-3,2.5,Core,1,,,,,,,,,,,
512,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3201,6,Applied Thermodynamics and Turbomachinery,3-1-2,5,Core,0,,,,,,,,,,,
513,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3202,6,System Dynamics and Control,3-1-2,5,Core,0,,,,,,,,,,,
514,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3203,6,Manufacturing Technology -II,3-0-3,4.5,Core,0,,,,,,,,,,,
515,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3204,6,Industrial Engineering and Operations Research,3-1-0,4,Core,0,,,,,,,,,,,
516,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3205,6,Technical Writing and Presentations,0-0-4,2,Core,0,,,,,,,,,,,
517,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME3201,6,Applied Thermodynamics and Turbomachinery,3-1-2,5,Core,1,,,,,,,,,,,
518,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME41XX,7,DE1,3-0-0,3,DE1,0,,,,,,,,,,,
519,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME41XX,7,DE2,3-0-0,3,DE2,0,,,,,,,,,,,
520,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,XX41PQ,7,IDE3,3-0-0,3,IDE3,0,,,,,,,,,,,
521,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,HS41PQ,7,HS2,3-0-0,3,HS2,0,,,,,,,,,,,
522,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME4198,7,SI,0-0-12,3,SI,0,,,,,,,,,,,
523,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME4199,7,P1,0-0-12,6,P1,0,,,,,,,,,,,
524,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME42XX,8,DE3,3-0-0,3,DE3,0,,,,,,,,,,,
525,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME42XX,8,DE4,3-0-0,3,DE4,0,,,,,,,,,,,
526,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME42XX,8,DE5,3-0-0,3,DE5,0,,,,,,,,,,,
527,Mechanical Engineering,Btech in Mechanical Engineering,2401ME,ME4299,8,P2,0-0-16,8,P2,0,,,,,,,,,,,
528,,,,,,,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,
532,,,,,,,,,,,,,,,,,,,,,
533,,,,,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,,,,,,,
535,,,,,,,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,
Rudraksh Jaiswal,,,,,,,,,,,,,,,,,,,,,
541,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0,,,,,,,,,,,
542,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,CS1101,1,Foundations of Programming ,3-0-3,4.5,Core,0,,,,,,,,,,,
543,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0,PH1101/PH1201,,,,,,,,,,
544,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0,,,,,,,,,,,
545,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0,,,,,,,,,,,
546,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,HS1101,1,English for Professionals,2-0-1,2.5,HS,0,,,,,,,,,,,
547,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0,,,,,,,,,,,
548,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,CS1201,2,Data Structure,3-0-3,4.5,Core,0,,,,,,,,,,,
549,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,CH1201/CH1101,2,Chemistry,3-1-3,5.5,Core,0,,,,,,,,,,,
550,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,ME1201/ME1101,2,Mechanical Fabrication,0-0-3,1.5,Core,0,,,,,,,,,,,
551,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,ME1202/ME1102,2,Engineering Mechanics,3-1-0,4,Core,0,,,,,,,,,,,
552,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,IK1101,2,IKS,3-0-0,3,IKS,0,,,,,,,,,,,
553,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2101,3,Introduction to Metallurgical and Materials Engineering,3-0-0,3,Core,1,,,,,,,,,,,
554,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2102,3,Mineral Processing and Process Metallurgy,3-0-3,4.5,Core,0,,,,,,,,,,,
555,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2103,3,Thermodynamics and Phase Equilibria,3-0-3,4.5,Core,0,,,,,,,,,,,
556,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2104,3,Transport Phenomena,3-1-0,4,Core,0,,,,,,,,,,,
557,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2105,3,Fundamentals of Polymer Science and Technology,3-0-0,3,Core,0,,,,,,,,,,,
558,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,HS21PQ,3,HS21PQ,3-0-0,3,HS,0,,,,,,,,,,,
559,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2201,4,Iron and Steel Making,3-1-0,4,Core,0,,,,,,,,,,,
560,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2202,4,Techniques of Materials Characterization I,3-0-3,4.5,Core,1,,,,,,,,,,,
561,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2203,4,Phase Transformation and Diffusion,3-1-0,4,Core,0,,,,,,,,,,,
562,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2204,4,Mechanical Behaviour of Materials,3-0-3,4.5,Core,0,,,,,,,,,,,
563,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2205,4,Welding and Solidification,3-0-0,3,Core,0,,,,,,,,,,,
564,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM2290,4,IDE1,3-0-0,3,IDE1,0,,,,,,,,,,,
565,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3101,5,Thermomechanical Processing of Metallic Materials,3-0-2,4,Core,0,,,,,,,,,,,
566,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3102,5,Computational Materials Science,2-1-0,3,Core,0,,,,,,,,,,,
567,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3103,5,Engineering Polymers,3-0-2,4,Core,1,,,,,,,,,,,
568,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3104,5,Ceramic Science and Technology,3-0-2,4,Core,0,,,,,,,,,,,
569,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3105,5,Metallography and Heat Treatment Laboratory,0-0-2,1,Core,0,,,,,,,,,,,
570,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3190,5,IDE2,3-0-0,3,IDE2,0,,,,,,,,,,,
571,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3201,6,Techniques of Materials Characterization II,3-0-3,4.5,Core,0,,,,,,,,,,,
572,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3202,6,"Corrosion and Corrosion
Prevention",3-0-2,4,Core,0,,,,,,,,,,,
573,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3203,6,Functional Materials,3-0-0,3,Core,1,,,,,,,,,,,
574,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3204,6,"Non-ferrous Metals and
Alloys",3-0-0,3,Core,0,,,,,,,,,,,
575,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3205,6,Capstone Laboratory,0-0-4,2,Core,0,,,,,,,,,,,
576,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM3210,6,Metals Processing Laboratory,0-0-3,1.5,Core,0,,,,,,,,,,,
577,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM41PQ,7,DE1,3-0-0,3,DE1,0,,,,,,,,,,,
578,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM41PQ,7,DE2,3-0-0,3,DE2,0,,,,,,,,,,,
579,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,HS41PQ,7,HS2 ,3-0-0,3,HS2 ,0,,,,,,,,,,,
580,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,XX41PQ,7,IDE3,3-0-0,3,IDE3,0,,,,,,,,,,,
581,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM4198,7,SI,0-0-12,3,SI,0,,,,,,,,,,,
582,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM4199,7,P1,0-0-12,6,P1,0,,,,,,,,,,,
583,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM42PQ,8,DE3,3-0-0,3,DE3,0,,,,,,,,,,,
584,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM42PQ,8,DE4,3-0-0,3,DE4,0,,,,,,,,,,,
585,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM42PQ,8,DE5,3-0-0,3,DE5,0,,,,,,,,,,,
586,Metallurgical and Materials Engineering,Btech in Metallurgical and Materials Engineering,2401MM,MM4299,8,P2,0-0-16,8,P2,0,,,,,,,,,,,
587,,,,,,,,,,,Minor 5 not mentioned in PDF,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,
592,,,,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,
Neha Pramanick,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0,,,,,,,,,,,
601,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,CS1101,1,Foundations of Programming,3-0-3,4.5,Core,0,,,,,,,,,,,
602,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0,,,,,,,,,,,
603,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0,,,,,,,,,,,
604,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0,,,,,,,,,,,
605,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,HS1101,1,English for Professionals,2-0-1,2.5,Core,0,,,,,,,,,,,
606,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0,,,,,,,,,,,
607,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,CS1201,2,Data Structure,3-0-3,4.5,Core,0,,,,,,,,,,,
608,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,CH1201/CH1101,2,Chemistry,3-1-3,5.5,Core,0,,,,,,,,,,,
609,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,ME1201/ME1101,2,Mechanical Fabrication,0-0-3,1.5,Core,0,,,,,,,,,,,
610,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,ME1202/ME1102,2,Engineering Mechanics,3-1-0,4,Core,0,,,,,,,,,,,
611,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,IK1101,2,Indian Knowledge System (IKS),3-0-0,3,IKS,0,,,,,,,,,,,
612,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP2101,3,Quantum Physics,3-1-0,4,Core,0,confused,,,,,,,,,,
613,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP2102,3,Optics and Lasers,3-0-3,4.5,Core,0,,,,,,,,,,,
614,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP2103,3,Classical dynamics: discrete and continuum systems,3-1-0,4,Core,0,,,,,,,,,,,
615,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP2104,3,Thermal physics with engineering applications,3-1-0,4,Core,0,,,,,,,,,,,
616,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,HS21PQ,3,HSS Elective – I,3-0-0,3,HS1,0,,,,,,,,,,,
617,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP2201,4,Introduction to Nuclear and Particle Physics,2-1-0,3,Core,0,,,,,,,,,,,
618,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP2202,4,Mathematical Methods for Engineers,3-1-0,4,Core,0,,,,,,,,,,,
619,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP2203,4,Electromagnetism,3-1-0,4,Core,0,,,,,,,,,,,
620,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP2204,4,Introductory Statistical Mechanics,2-1-0,3,Core,0,,,,,,,,,,,
621,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP2205,4,Analog Electronics,2-0-3,3.5,Core,0,,,,,,,,,,,
622,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP22PQ,4,IDE – I,3-0-0,3,ID1,0,,,,,,,,,,,
623,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP3101,5,Computational Techniques,2-0-3,3.5,Core,0,,,,,,,,,,,
624,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP3102,5,Data Science for Physicists,1-1-3,3.5,Core,0,,,,,,,,,,,
625,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP3103,5,Digital Electronics and Microprocessors,2-0-3,3.5,Core,0,,,,,,,,,,,
626,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP3104,5,Solid State Physics,3-1-2,5,Core,0,,,,,,,,,,,
627,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP3105,5,Instrumentation Techniques,2-0-2,3,Core,0,,,,,,,,,,,
628,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP31XX,5,IDE – II,3-0-0,3,ID2,0,,,,,,,,,,,
629,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP3201,6,Nonlinear Dynamics,2-1-0,3,Core,0,,,,,,,,,,,
630,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP3202,6,Interfacing and data analysis,1-0-4,3,Core,0,,,,,,,,,,,
631,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP3203,6,Atomic and Molecular Physics,3-1-2,5,Core,0,,,,,,,,,,,
632,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP3204,6,Soft Condensed Matter Physics,3-0-0,3,Core,0,,,,,,,,,,,
633,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH32XX,6,DE – I,3-0-0,3,DE1,0,,,,,,,,,,,
634,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH32XX,6,DE – II,3-0-0,3,DE2,0,,,,,,,,,,,
635,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,EP4105,7,Quantum Technology Laboratory,1-0-3,2.5,Core,0,,,,,,,,,,,
636,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH41XX / PH42XX,7,DE1II,3-0-0,3,DE3,0,,,,,,,,,,,
637,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,HS41PQ,7,HSS Elective – II,3-0-0,3,HS2,0,,,,,,,,,,,
638,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PHXXXX,7,IDE – III,3-0-0,3,ID3,0,,,,,,,,,,,
639,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH4198,7,Summer Internship*,0-0-12,3,SI,0,,,,,,,,,,,
640,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH4199,7,Project – I,0-0-12,6,P1,0,,,,,,,,,,,
641,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH41XX / PH42XX,8,DE1V,3-0-0,3,DE4,0,,,,,,,,,,,
642,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH41XX / PH42XX,8,DE5,3-0-0,3,DE5,0,,,,,,,,,,,
643,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH41XX / PH42XX,8,DE5I ,3-0-0,3,DE6,0,,,,,,,,,,,
644,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH41XX / PH42XX,8,DE5II,3-0-0,3,DE7,0,,,,,,,,,,,
645,"Engineering Physics and Minors in Physics, Nanoscience, Optics, Energy Storage Technology, Quantum Technology",,,PH4299,8,Project – II,0-0-16,8,P2,0,,,,,,,,,,,
646,,,,,,,,,,,,,,,,,,,,,
647,,,,,,,,,,,,,,,,,,,,,
648,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,,,,,,,
651,,,,,,,,,,,,,,,,,,,,,
652,,,,,,,,,,,,,,,,,,,,,
653,,,,,,,,,,,,,,,,,,,,,
654,,,,,,,,,,,,,,,,,,,,,
655,,,,,,,,,,,,,,,,,,,,,
656,,,,,,,,,,,,,,,,,,,,,
657,,,,,,,,,,,,,,,,,,,,,
658,,,,,,,,,,,,,,,,,,,,,
659,,,,,,,,,,,,,,,,,,,,,
660,,,,,,,,,,,,,,,,,,,,,
Abhinav Reddy Kotha,,,,,,,,,,,,,,,,,,,,,
661,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,HS5111,1,Technical Writing and Soft Skill,1-2-2,4,C,0,,,,,,,,,,,
662,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB5101,1,Advanced Reaction Engineering,3-1-0,4,C,0,,,,,,,,,,,
663,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB5102,1,Advanced Heat Transfer,3-1-0,4,C,0,,,,,,,,,,,
664,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB5103,1,Introduction to Computational Techniques,1-0-3,2.5,C,0,,,,,,,,,,,
665,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB61PQ,1,DE1,3-0-0,3,DE1,0,,,,,,,,,,,
666,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB61PQ,1,DE1I,3-0-0,3,DE1I,0,,,,,,,,,,,
667,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,XX61PQ,1,IDE,3-0-0,3,IDE,0,,,,,,,,,,,
668,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB5201,2,Advanced Mass Transfer,3-1-0,4,C,0,,,,,,,,,,,
669,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB5202,2,Classical and Statistical Thermodynamics,3-1-0,4,C,0,,,,,,,,,,,
670,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB5203,2,Analytical Characterization Lab,1-0-3,2.5,C,0,,,,,,,,,,,
671,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB62PQ,2,DE1II,3-0-0,3,DE1II,0,,,,,,,,,,,
672,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB62PQ,2,DE1V,3-0-0,3,DE1V,0,,,,,,,,,,,
673,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,RM6201,2,Research Methodology,3-1-0,4,RM,0,,,,,,,,,,,
674,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,IK6201,2,IKS,3-0-0,3,IKS,0,,,,,,,,,,,
675,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB6198,3,Summer Internship/Mini Project,0-0-12,3,SI,0,,,,,,,,,,,
676,Chemical and Biochemical Engineering,M. Tech. in Chemical Engineering,2411CB,CB6199,3,Project I,0-0-30,15,P1,0,,,,,,,,,,,
