1368,Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor,Comments,,,1368,Example,Course Code,Course Name,LTP,Credit,Type,offered_for_minor
38,Department of Chemical and Biochemical Engineering,,,XX41PQ,7,IDE1II,3-0-2,3,IDE3,0,,,,,,,,,,,
39,Department of Chemical and Biochemical Engineering,,,HS31PQ,7,HSS Elective-II,3-0-3,3,HS2,0,,,,,,,,,,,
40,Department of Chemical and Biochemical Engineering,,,CB4198,7,Summer Internship*,0-0-12,3,SI,0,,,,,,,,,,,
41,Department of Chemical and Biochemical Engineering,,,CB4199,7,Project – I,0-0-12,6,P1,0,,,,,,,,,,,
42,Department of Chemical and Biochemical Engineering,,,CB42PQ,8,DE1V,3-0-0,3,DE4,0,,,,,,,,,,,
43,Department of Chemical and Biochemical Engineering,,,CB42PQ,8,DE5,3-0-0,3,DE5,0,,,,,,,,,,,
44,Department of Chemical and Biochemical Engineering,,,CB4298,8,DE5I,3-0-0,3,DE6,0,,,,,,,,,,,
45,Department of Chemical and Biochemical Engineering,,,CB4299,8,Project – II,0-0-16,8,P2,0,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,
Singam Setty Deshik,,,,,,,,,,,,,,,,,,,,,
61,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0,,,,,,,,,,,
62,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CS1101,1,Foundations of Programming ,3-0-3,4.5,Core,0,,,,,,,,,,,
63,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0,PH1101/PH1201,,,,,,,,,,
64,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0,,,,,,,,,,,
65,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0,,,,,,,,,,,
66,Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,HS1101,1,English for Professionals,2-0-1,2.5,Core,0,,,,,,,,,,,
