Course Code,Course Name,LTP,Credit,Type
ME4107,Energy Engineering,3-0-0,3.0,DE2
ME4201,Finite Element Method,3-0-0,3.0,DE3
ME4202,Refrigeration and Cryogenics,3-0-0,3.0,DE3
ME4203,"Mechanics, Processing and failure of Composite Materials",3-0-0,3.0,DE3
ME4204,Mechanical Characterization of Materials,3-0-0,3.0,DE4
ME4205,Internal Combustion Engines,3-0-0,3.0,DE4
ME4206,Micro-manufacturing,3-0-0,3.0,DE4
ME4207,Energy Methods and Variational Principles in Applied Mechanics,3-0-0,3.0,DE5
ME4208,Failure Analysis of Engineering Material,3-0-0,3.0,DE5
ME4209,Hydraulic Machines,3-0-0,3.0,DE5
ME2205,Manufacturing Processes for Metallic Materials,3-0-0,3.0,IDE1
ME3106,Automotive Technology,3-0-0,3.0,IDE2
ME4103,Nonlinear Dynamics and Chaos,3-0-0,3.0,IDE3
CE5217,Geoinformatics for Engineers,3-0-0,3.0,DE2
CE6206,Geotechnical Earthquake Engineering,3-0-0,3.0,DE2
CE6207,Soil-Structure Interaction Analysis,3-0-0,3.0,DE2
CE6209,Coupled Process in Fractured Geological Media,3-0-0,3.0,DE2
CE6210,Ground Improvement Techniques,3-0-0,3.0,DE2
CE6213,Design of Underground Excavations,3-0-0,3.0,DE2
CE6215,Forensic Geotechnical Engineering,3-0-0,3.0,DE2
CE6217,Advanced Steel Design,3-0-0,3.0,DE2
CE6218,Finite Element Method,3-0-0,3.0,DE2
CE6219,Structural Health Monitoring,3-0-0,3.0,DE2
CE6220,Condition Assessment and Retrofitting of Structures,3-0-0,3.0,DE2
CE6223,"Uncertainty, Risk and Reliability Analyses in Civil Engineering",3-0-0,3.0,DE2
CE6224,Nonlinear Structural Mechanics,3-0-0,3.0,DE2
CE6225,Theory of Random Vibration,3-0-0,3.0,DE2
CE6226,Analysis of Structural Stability,3-0-0,3.0,DE2
CE6117,Masonry Structures,3-0-0,3.0,DE3
CE6118,Wind Analysis and Design of Structures,3-0-0,3.0,DE3
CE6119,Special Topics in Structural Analysis,3-0-0,3.0,DE3
CE6120,Analysis Plates and Shells Structure,3-0-0,3.0,DE3
CE6115,Advanced Structural Mechanics,3-0-0,3.0,DE3
CE6116,Bridge Engineering and Design,3-0-0,3.0,DE3
CE6121,Prestressed Concrete Structure: Theory & Design,3-0-0,3.0,DE3
CE6122,Advanced Concrete Technology,3-0-0,3.0,DE3
CE6123,Structural Fire Engineering,3-0-0,3.0,DE3
CE6130,Analytical Methods in Civil Engineering,3-0-0,3.0,DE3
CE6106,Soil Dynamics,3-0-0,3.0,DE3
CE6107,Rock Slope Engineering,3-0-0,3.0,DE3
CE6108,Constitutive Modelling in Geotechnics,3-0-0,3.0,DE3
