Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4201,8,Elements of Remote Sensing and GIS,3-0-0,3.0,DE3
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4202,8,Introduction to Soil Structure Interaction,3-0-0,3.0,DE3
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4203,8,Introduction to Underground Excavation,3-0-0,3.0,DE3
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4204,8,Multiphysical Processes in fractured rocks,3-0-0,3.0,DE3
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4205,8,Rock Engineering for Hydropower Projects,3-0-0,3.0,DE3
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4206,8,Fundamentals of Forensic Geotech Engineering,3-0-0,3.0,DE3
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4207,8,Ground Improvement for Civil Engineering Structures,3-0-0,3.0,DE3
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4208,8,Solid Waste Engineering,3-0-0,3.0,DE4
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4209,8,Air Pollution Engineering,3-0-0,3.0,DE4
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4210,8,Introduction to Geotechnical Earthquake Engineering,3-0-0,3.0,DE5
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4211,8,Structural Dynamics and Earthquake Engineering,3-0-0,3.0,DE5
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4212,8,Rehabilitation of Structures,3-0-0,3.0,DE5
Civil and Environmental Engineering,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,2401CE,CE4213,8,Introduction to Structural Health Monitoring,3-0-0,3.0,DE5
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH3206,6,Metal Ions in Chemical Biology,3-0-0,3.0,DE1
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH3207,6,Petroleum and Petrochemicals,3-0-0,3.0,DE1
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH4107,7,Drug Design and Development,3-0-0,3.0,DE2
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH4108,7,"Dyes, Paints and Pigments",3-0-0,3.0,DE2
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH4109,7,Group Theory and Spectroscopy,3-0-0,3.0,DE3
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH4110,7,Application of Statistical Mechanics in Chemistry.,3-0-0,3.0,DE3
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH4207,8,Catalysis,3-0-0,3.0,DE4
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH4208,8,Colloids and Interface Chemistry,3-0-0,3.0,DE4
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH4209,8,Food Chemistry,3-0-0,3.0,DE5
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH4210,8,Green and Sustainable Chemistry,3-0-0,3.0,DE5
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH4211,8,Materials Chemistry,3-0-0,3.0,DE6
Chemistry,B. Tech. in Chemical Science and Technology (CST) and Minor in CST,2401CT,CH4212,8,Organic Semiconductors: Fundamentals to Applications,3-0-0,3.0,DE6
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS2209,4,Introduction to Data Science,3-0-3,3.0,IDE1
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS3109,5,Computer Graphics,3-0-0,3.0,IDE2
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4109,7,Data Analysis and Visualization,3-0-0,3.0,IDE3
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS3221,6,Object-Oriented Programming,3-0-0,3.0,DE1
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS3222,6,Agile Computing,3-0-0,3.0,DE1
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS3223,6,Software Engineering,3-0-0,3.0,DE1
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS3224,6,Bayesian Data Analysis,3-0-0,3.0,DE1
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS3225,6,Data Mining,3-0-0,3.0,DE1
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS3226,6,Information Retrieval,3-0-0,3.0,DE1
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4121,7,Pattern Recognition,3-0-0,3.0,DE2
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4122,7,Principles of Programming Languages,3-0-0,3.0,DE2
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4123,7,Social Networks,3-0-0,3.0,DE2
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4124,7,Multimedia System,3-0-0,3.0,DE2
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4126,7,Nature Inspired Algorithms,3-0-0,3.0,DE2
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4127,7,Graph Machine Learning,3-0-0,3.0,DE3
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4128,7,Bioinformatics,3-0-0,3.0,DE3
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4129,7,Time Series Analysis,3-0-0,3.0,DE3
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4131,7,Computational Data Analysis,3-0-0,3.0,DE3
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4132,7,Blockchain Technology,3-0-0,3.0,DE3
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4133,7,Evolutionary Computing,3-0-0,3.0,DE3
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4221,8,Multivariate Analysis,3-0-0,3.0,DE4
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4222,8,Generative AI,3-0-0,3.0,DE4
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4223,8,Statistical Machine Learning,3-0-0,3.0,DE4
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4224,8,Text Mining,3-0-0,3.0,DE4
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4226,8,Cloud Computing,3-0-0,3.0,DE5
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4227,8,Quantum Computing,3-0-0,3.0,DE5
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4228,8,Drone Data Processing,3-0-0,3.0,DE5
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4229,8,Edge Computing,3-0-0,3.0,DE5
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4230,8,Wireless Networks,3-0-0,3.0,DE5
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4233,8,Computer Security,3-0-0,3.0,DE6
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4234,8,Cryptography,3-0-0,3.0,DE6
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4235,8,Big Data Analytics,3-0-0,3.0,DE6
Computer Science & Engineering, B. Tech. Artificial Intelligence and Data Science (AI&DS) and Minor in AI&DS,2401AI,CS4236,8,Computer Forensics,3-0-0,3.0,DE6
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS3221,6,Object-Oriented Programming,3-0-0,3.0,DE1
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS3222,6,Agile Computing,3-0-0,3.0,DE1
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS3223,6,Software Engineering,3-0-0,3.0,DE1
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS3224,6,Bayesian Data Analysis,3-0-0,3.0,DE1
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS3225,6,Data Mining,3-0-0,3.0,DE1
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS3226,6,Information Retrieval,3-0-0,3.0,DE1
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4121,7,Pattern Recognition,3-0-0,3.0,DE2
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4122,7,Principles of Programming Languages,3-0-0,3.0,DE2
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4123,7,Social Networks,3-0-0,3.0,DE2
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4124,7,Multimedia System,3-0-0,3.0,DE2
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4125,7,Program Analysis and Verification,3-0-0,3.0,DE2
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4127,7,Graph Machine Learning,3-0-0,3.0,DE3
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4128,7,Bioinformatics,3-0-0,3.0,DE3
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4129,7,Time Series Analysis,3-0-0,3.0,DE3
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4130,7,Advanced Graph Theory,3-0-0,3.0,DE3
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4131,7,Computational Data Analysis,3-0-0,3.0,DE3
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4132,7,Blockchain Technology,3-0-0,3.0,DE3
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4221,8,Multivariate Analysis,3-0-0,3.0,DE4
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4222,8,Generative AI,3-0-0,3.0,DE4
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4223,8,Statistical Machine Learning,3-0-0,3.0,DE4
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4224,8,Text Mining,3-0-0,3.0,DE4
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4225,8,Combinatorial optimization,3-0-0,3.0,DE4
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4226,8,Cloud Computing,3-0-0,3.0,DE5
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4227,8,Quantum Computing,3-0-0,3.0,DE5
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4228,8,Drone Data Processing,3-0-0,3.0,DE5
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4229,8,Edge Computing,3-0-0,3.0,DE5
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4230,8,Wireless Networks,3-0-0,3.0,DE5
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4231,8,Distributed Computing,3-0-0,3.0,DE5
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4232,8,Parallel Computing,3-0-0,3.0,DE5
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4233,8,Computer Security,3-0-0,3.0,DE6
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4234,8,Cryptography,3-0-0,3.0,DE6
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4235,8,Big Data Analytics,3-0-0,3.0,DE6
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS4236,8,Computer Forensics,3-0-0,3.0,DE6
Computer Science & Engineering,B. Tech. in Computer Science and Engineering (CSE) and Minor in CSE,2401CS,CS2209,4,Introduction to Data Science,3-0-3,3.0,IDE1
