2401CE,4,CE2290,IDE1,0,,,130,,
2401CE,5,CE3190,IDE2,0,,,130,,
2401CE,7,CE4190,IDE3,0,,,130,,
2401CE,7,CE4191,IDE3,0,,,130,,
2401CE,7,CE4101,DE1,0,,,130,,
2401CE,7,CE4102,DE1,0,,,130,,
2401CE,7,CE4103,DE1,0,,,130,,
2401CE,7,CE4104,DE1,0,,,130,,
2401CE,7,CE4105,DE2,0,,,130,,
2401CE,7,CE4106,DE2,0,,,130,,
2401CE,7,CE4107,DE2,0,,,130,,
2401CE,7,CE4108,DE2,0,,,130,,
2401CE,7,CE4109,DE2,0,,,130,,
2401CE,7,CE4110,DE2,0,,,130,,
2401CE,8,CE4201,DE3,0,,,130,,
2401CE,8,CE4202,DE3,0,,,130,,
2401CE,8,CE4203,DE3,0,,,130,,
2401CE,8,CE4204,DE3,0,,,130,,
2401CE,8,CE4205,DE3,0,,,130,,
2401CE,8,CE4206,DE3,0,,,130,,
2401CE,8,CE4207,DE3,0,,,130,,
2401CE,8,CE4208,DE4,0,,,130,,
2401CE,8,CE4209,DE4,0,,,130,,
2401CE,8,CE4210,DE5,0,,,130,,
2401CE,8,CE4211,DE5,0,,,130,,
2401CE,8,CE4212,DE5,0,,,130,,
2401CE,8,CE4213,DE5,0,,,130,,
2401CT,6,CH3206,DE1,0,,,130,,
2401CT,6,CH3207,DE1,0,,,130,,
2401CT,7,CH4107,DE2,0,,,130,,
2401CT,7,CH4108,DE2,0,,,130,,
2401CT,7,CH4109,DE3,0,,,130,,
2401CT,7,CH4110,DE3,0,,,130,,
2401CT,8,CH4207,DE4,0,,,130,,
2401CT,8,CH4208,DE4,0,,,130,,
2401CT,8,CH4209,DE5,0,,,130,,
2401CT,8,CH4210,DE5,0,,,130,,
2401CT,8,CH4211,DE6,0,,,130,,
2401CT,8,CH4212,DE6,0,,,130,,
2401AI,4,CS2209,IDE1,0,,,130,,
2401AI,5,CS3109,IDE2,0,,,130,,
2401AI,7,CS4109,IDE3,0,,,130,,
2401AI,6,CS3221,DE1,0,,,130,,
2401AI,6,CS3222,DE1,0,,,130,,
2401AI,6,CS3223,DE1,0,,,130,,
2401AI,6,CS3224,DE1,0,,,130,,
2401AI,6,CS3225,DE1,0,,,130,,
2401AI,6,CS3226,DE1,0,,,130,,
2401AI,7,CS4121,DE2,0,,,130,,
2401AI,7,CS4122,DE2,0,,,130,,
2401AI,7,CS4123,DE2,0,,,130,,
2401AI,7,CS4124,DE2,0,,,130,,
2401AI,7,CS4126,DE2,0,,,130,,
2401AI,7,CS4127,DE3,0,,,130,,
2401AI,7,CS4128,DE3,0,,,130,,
2401AI,7,CS4129,DE3,0,,,130,,
2401AI,7,CS4131,DE3,0,,,130,,
2401AI,7,CS4132,DE3,0,,,130,,
2401AI,7,CS4133,DE3,0,,,130,,
2401AI,8,CS4221,DE4,0,,,130,,
2401AI,8,CS4222,DE4,0,,,130,,
2401AI,8,CS4223,DE4,0,,,130,,
2401AI,8,CS4224,DE4,0,,,130,,
2401AI,8,CS4226,DE5,0,,,130,,
2401AI,8,CS4227,DE5,0,,,130,,
2401AI,8,CS4228,DE5,0,,,130,,
2401AI,8,CS4229,DE5,0,,,130,,
2401AI,8,CS4230,DE5,0,,,130,,
2401AI,8,CS4233,DE6,0,,,130,,
2401AI,8,CS4234,DE6,0,,,130,,
2401AI,8,CS4235,DE6,0,,,130,,
